compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
MolecularMixture.txt,PUBCHEM.COMPOUND:42626860,Oxidanium;hafnium;icosahydrate,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:42626858,Oxidanium;hafnium;icosahydrate,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:42627085,Oxidanium;phosphoric acid;zirconium;decahydrate,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:49874404,Oxidanium;phosphoric acid;zirconium;decahydrate,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:4681848,copper bis([1-carboxy-2-(1H-imidazol-5-yl)ethyl]azanide),biolink:MolecularMixture,7,PUBCHEM.COMPOUND:11979526,copper bis([1-carboxy-2-(1H-imidazol-5-yl)ethyl]azanide),leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:58606480,Carbanide;tris(yttrium),biolink:MolecularMixture,7,PUBCHEM.COMPOUND:58773287,Carbanide;tris(yttrium),leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:59891200,"Dichloromanganese;2,5,12,15,18-pentazatricyclo[17.4.0.06,11]tricosane",biolink:MolecularMixture,7,PUBCHEM.COMPOUND:57696624,"Dichloromanganese;2,5,12,15,18-pentazatricyclo[17.4.0.06,11]tricosane",leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
SmallMolecule.txt,PUBCHEM.COMPOUND:657964,N-[methylamino-(4-methylphenyl)-lambda4-sulfanylidene]benzenesulfonamide,biolink:SmallMolecule,7,PUBCHEM.COMPOUND:7360979,N-[methylamino-(4-methylphenyl)-lambda4-sulfanylidene]benzenesulfonamide,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,7,7,
SmallMolecule.txt,PUBCHEM.COMPOUND:6928736,N-[ethyl(phenyl)-lambda4-sulfanylidene]-4-methylbenzenesulfonamide,biolink:SmallMolecule,7,PUBCHEM.COMPOUND:40432078,N-[ethyl(phenyl)-lambda4-sulfanylidene]-4-methylbenzenesulfonamide,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,7,7,
SmallMolecule.txt,PUBCHEM.COMPOUND:72802429,"N'-hydroxy-2-[5-[4-(N'-hydroxycarbamimidoyl)phenyl]furan-2-yl]imidazo[1,2-a]pyridine-6-carboximidamide",biolink:SmallMolecule,7,PUBCHEM.COMPOUND:172960339,"N'-hydroxy-2-[5-[4-(N'-hydroxycarbamimidoyl)phenyl]furan-2-yl]imidazo[1,2-a]pyridine-6-carboximidamide",leader_changed,SmallMolecule.txt,biolink:SmallMolecule,7,7,
SmallMolecule.txt,PUBCHEM.COMPOUND:7290006,4-methyl-N-[methyl(propan-2-yl)-lambda4-sulfanylidene]benzenesulfonamide,biolink:SmallMolecule,7,PUBCHEM.COMPOUND:7290008,4-methyl-N-[methyl(propan-2-yl)-lambda4-sulfanylidene]benzenesulfonamide,leader_changed,SmallMolecule.txt,biolink:SmallMolecule,7,7,
MolecularMixture.txt,PUBCHEM.COMPOUND:76871901,Tetraoxidanium;molybdenum;tetracosahydrate,biolink:MolecularMixture,7,PUBCHEM.COMPOUND:145707006,Tetraoxidanium;molybdenum;tetracosahydrate,leader_changed,MolecularMixture.txt,biolink:MolecularMixture,7,7,
