gard_id,gard_label,target,target_label,clique_leader,clique_type,clique_members_joined
GARD:28281,Ameloblastic Fibrodentinoma,NCIT:C66800,Ameloblastic Fibrodentinoma,UMLS:C0457520,biolink:Disease,3
GARD:28230,Ameloblastic Fibrodentinosarcoma,NCIT:C173739,Ameloblastic Fibrodentinosarcoma,UMLS:C5401473,biolink:Disease,2
GARD:27497,Ameloblastic Fibroma,NCIT:C4316,Ameloblastic Fibroma,UMLS:C0334572,biolink:Disease,4
GARD:27489,Ameloblastic Fibro-Odontoma,NCIT:C3710,Ameloblastic Fibro-Odontoma,UMLS:C0205865,biolink:Disease,5
GARD:27464,Ameloblastic Fibro-Odontosarcoma,NCIT:C173740,Ameloblastic Fibro-Odontosarcoma,UMLS:C0334564,biolink:Disease,3
GARD:28322,Aplasia cutis-enamel dysplasia syndrome,MONDO:0968978,aplasia cutis-enamel dysplasia syndrome,MONDO:0968978,biolink:Disease,5
GARD:28298,Arthrogryposis,MONDO:0008779,arthrogryposis,MONDO:0008779,biolink:Disease,9
GARD:28287,Atelosteogenesis,MONDO:0000389,atelosteogenesis,MONDO:0000389,biolink:Disease,6
GARD:17996,Autosomal recessive extra-oral halitosis,orphanet:562538,Autosomal recessive extra-oral halitosis,MONDO:0029144,biolink:Disease,6
GARD:28279,Basal Cell Ameloblastoma,NCIT:C39757,Basal Cell Ameloblastoma,UMLS:C1511055,biolink:Disease,2
GARD:27507,Benign Ameloblastoma,NCIT:C7111,Benign Ameloblastoma,UMLS:C1332470,biolink:Disease,2
GARD:27492,Benign Odontogenic Neoplasm,NCIT:C4306,Benign Odontogenic Neoplasm,UMLS:C0334557,biolink:Disease,3
GARD:28293,Bladder urachal carcinoma,MONDO:0003715,bladder urachal carcinoma,MONDO:0003715,biolink:Disease,7
GARD:28292,Bladder urachal squamous cell carcinoma,MONDO:0003714,bladder urachal squamous cell carcinoma,MONDO:0003714,biolink:Disease,5
GARD:27503,Calcifying Cystic Odontogenic Tumor,NCIT:C54319,Calcifying Cystic Odontogenic Tumor,UMLS:C0206740,biolink:Disease,5
GARD:27493,Cementoblastoma,NCIT:C4308,Cementoblastoma,HP:0012328,biolink:PhenotypicFeature,7
GARD:28307,Central auditory processing disorder,NCIT:C97170,Central Auditory Processing Disorder,MONDO:0024422,biolink:Disease,10
GARD:28203,Central Nervous System Erdheim-Chester Disease,NCIT:C129808,Central Nervous System Erdheim-Chester Disease,UMLS:C4329631,biolink:Disease,2
GARD:28285,Central Nervous System Histiocytic and Dendritic Cell Neoplasm,NCIT:C92944,Central Nervous System Histiocytic and Dendritic Cell Neoplasm,UMLS:C2985357,biolink:Disease,2
GARD:28202,Central Nervous System Histiocytic Sarcoma,NCIT:C129807,Central Nervous System Histiocytic Sarcoma,UMLS:C2046300,biolink:Disease,2
GARD:28201,Central Nervous System Langerhans Cell Histiocytosis,NCIT:C129806,Central Nervous System Langerhans Cell Histiocytosis,UMLS:C4329634,biolink:Disease,2
GARD:27466,Central Nervous System Rosai-Dorfman-Destombes Disease,NCIT:C186663,Central Nervous System Rosai-Dorfman-Destombes Disease,UMLS:C5670693,biolink:Disease,2
GARD:28244,Central Odontogenic Fibroma,NCIT:C202077,Central Odontogenic Fibroma,UMLS:C1260966,biolink:Disease,3
GARD:28345,Cerebral Adrenoleukodystrophy,NCIT:C142852,Cerebral Adrenoleukodystrophy,UMLS:C4684865,biolink:Disease,2
GARD:28368,Chilblains,MESH:D002647,Chilblains,HP:0009710,biolink:PhenotypicFeature,10
GARD:28235,Childhood Adamantinomatous Craniopharyngioma,NCIT:C188948,Childhood Adamantinomatous Craniopharyngioma,UMLS:C5708143,biolink:Disease,2
GARD:28238,Childhood Adenomatoid Odontogenic Tumor,NCIT:C190156,Childhood Adenomatoid Odontogenic Tumor,UMLS:C5783529,biolink:Disease,2
GARD:27474,Childhood Adrenal Cortical Carcinoma,NCIT:C190069,Childhood Adrenal Cortical Carcinoma,UMLS:C5783480,biolink:Disease,2
GARD:27468,Childhood ALK-Rearranged Renal Cell Carcinoma,NCIT:C189250,Childhood ALK-Rearranged Renal Cell Carcinoma,UMLS:C5708332,biolink:Disease,2
GARD:28237,Childhood Ameloblastic Fibroma,NCIT:C190155,Childhood Ameloblastic Fibroma,UMLS:C5783528,biolink:Disease,2
GARD:27443,Childhood Breast Carcinoma,NCIT:C118809,Childhood Breast Carcinoma,UMLS:C3897071,biolink:Disease,2
GARD:27479,Childhood Carcinoma,NCIT:C190275,Childhood Carcinoma,UMLS:C5783602,biolink:Disease,2
GARD:27442,Childhood Colorectal Carcinoma,NCIT:C118808,Childhood Colorectal Carcinoma,UMLS:C3899669,biolink:Disease,2
GARD:27483,Childhood Cutaneous Melanoma,NCIT:C190280,Childhood Cutaneous Melanoma,UMLS:C5783607,biolink:Disease,2
GARD:27469,Childhood Eosinophilic Solid and Cystic Renal Cell Carcinoma,NCIT:C189255,Childhood Eosinophilic Solid and Cystic Renal Cell Carcinoma,UMLS:C5708335,biolink:Disease,2
GARD:27445,Childhood Esophageal Carcinoma,NCIT:C118812,Childhood Esophageal Carcinoma,UMLS:C3899664,biolink:Disease,2
GARD:27470,Childhood Fibrolamellar Carcinoma,NCIT:C189932,Childhood Fibrolamellar Carcinoma,UMLS:C5708841,biolink:Disease,2
GARD:27482,Childhood Head and Neck NUT Carcinoma,NCIT:C190278,Childhood Head and Neck NUT Carcinoma,UMLS:C5783605,biolink:Disease,2
GARD:27451,Childhood Langerhans Cell Histiocytosis with Risk Organ Involvement,NCIT:C123395,Childhood Langerhans Cell Histiocytosis with Risk Organ Involvement,UMLS:C4055246,biolink:Disease,2
GARD:28200,Childhood Langerhans Cell Histiocytosis without Risk Organ Involvement,NCIT:C123396,Childhood Langerhans Cell Histiocytosis without Risk Organ Involvement,UMLS:C4055245,biolink:Disease,2
GARD:27444,Childhood Laryngeal Carcinoma,NCIT:C118811,Childhood Laryngeal Carcinoma,UMLS:C3899654,biolink:Disease,2
GARD:28256,Childhood Lung Carcinoma,NCIT:C209738,Childhood Lung Carcinoma,UMLS:C5962472,biolink:Disease,2
GARD:27446,Childhood Lung Non-Small Cell Carcinoma,NCIT:C118814,Childhood Lung Non-Small Cell Carcinoma,UMLS:C3899650,biolink:Disease,2
GARD:27447,Childhood Lung Small Cell Carcinoma,NCIT:C118815,Childhood Lung Small Cell Carcinoma,UMLS:C3899641,biolink:Disease,2
GARD:27448,Childhood Malignant Penile Neoplasm,NCIT:C118821,Childhood Malignant Penile Neoplasm,UMLS:C3899653,biolink:Disease,2
GARD:28197,Childhood Malignant Small Intestinal Neoplasm,NCIT:C118826,Childhood Malignant Small Intestinal Neoplasm,UMLS:C3897069,biolink:Disease,2
GARD:27476,Childhood Mucoepidermoid Carcinoma,NCIT:C190272,Childhood Mucoepidermoid Carcinoma,UMLS:C5783599,biolink:Disease,2
GARD:28193,Childhood Nasal Cavity Carcinoma,NCIT:C118817,Childhood Nasal Cavity Carcinoma,UMLS:C3899651,biolink:Disease,2
GARD:27480,Childhood Nasopharyngeal Carcinoma,NCIT:C190276,Childhood Nasopharyngeal Carcinoma,UMLS:C5783603,biolink:Disease,2
GARD:27481,Childhood NUT Carcinoma,NCIT:C190277,Childhood NUT Carcinoma,UMLS:C5783604,biolink:Disease,2
GARD:28239,Childhood Odontogenic Myxoma,NCIT:C190157,Childhood Odontogenic Myxoma,UMLS:C5783530,biolink:Disease,2
GARD:27475,Childhood Odontogenic Neoplasm,NCIT:C190152,Childhood Odontogenic Neoplasm,UMLS:C5783526,biolink:Disease,2
GARD:28236,"Childhood Ovarian Small Cell Carcinoma, Hypercalcemic Type",NCIT:C189334,"Childhood Ovarian Small Cell Carcinoma, Hypercalcemic Type",UMLS:C5708381,biolink:Disease,2
